id,Address,Response_Address,Response_X,Response_Y
1,臺北市大安區羅斯福路3段309號6樓之2,臺北市大安區大學里11鄰羅斯福路三段309號,121.531931,25.017372
2,臺北市文山區忠順街一段36號九樓之1,臺北市文山區樟樹里6鄰忠順街一段36號,121.559721,24.984110
3,臺北市信義區吳興街600巷76弄20號3樓之2,臺北市信義區泰和里20鄰吳興街600巷76弄20號,121.570498,25.018460
4,臺北市信義區吳興街600巷76弄20號4樓之2,臺北市信義區泰和里20鄰吳興街600巷76弄20號,121.570498,25.018460
5,臺北市信義區吳興街600巷76弄20號2樓之2,臺北市信義區泰和里20鄰吳興街600巷76弄20號,121.570498,25.018460
6,臺北市信義區吳興街600巷76弄20號5樓之1,臺北市信義區泰和里20鄰吳興街600巷76弄20號,121.570498,25.018460
7,臺北市中正區中華路一段７號十五樓之１,臺北市中正區光復里1鄰中華路一段7號,121.510267,25.047034
8,臺北市信義區吳興街600巷76弄22號4樓之2,臺北市信義區泰和里20鄰吳興街600巷76弄22號,121.570477,25.018374
9,臺北市信義區吳興街600巷76弄22號2樓之2,臺北市信義區泰和里20鄰吳興街600巷76弄22號,121.570477,25.018374
10,臺北市中正區中華路一段７號十一樓之７,臺北市中正區光復里1鄰中華路一段7號,121.510267,25.047034
11,臺北市中正區中華路一段７號十一樓,臺北市中正區光復里1鄰中華路一段7號,121.510267,25.047034
12,臺北市中正區中華路一段７號十二樓之１,臺北市中正區光復里1鄰中華路一段7號,121.510267,25.047034
13,臺北市中正區中華路一段７號四樓之７,臺北市中正區光復里1鄰中華路一段7號,121.510267,25.047034
14,臺北市中正區中華路一段７號三樓之１０,臺北市中正區光復里1鄰中華路一段7號,121.510267,25.047034
15,臺北市中正區中華路一段７號十一樓之８,臺北市中正區光復里1鄰中華路一段7號,121.510267,25.047034
16,臺北市中正區中華路一段７號十四樓之９,臺北市中正區光復里1鄰中華路一段7號,121.510267,25.047034
17,臺北市信義區吳興街600巷76弄20號2樓,臺北市信義區泰和里20鄰吳興街600巷76弄20號,121.570498,25.018460
18,臺北市大安區信義路三段３９號七樓,臺北市大安區民炤里11鄰信義路三段39號,121.534837,25.033757
19,臺北市信義區吳興街600巷76弄22號,臺北市信義區泰和里20鄰吳興街600巷76弄22號,121.570477,25.018374
20,臺北市信義區吳興街600巷76弄20號5樓,臺北市信義區泰和里20鄰吳興街600巷76弄20號,121.570498,25.018460
21,臺北市信義區吳興街600巷76弄20號2樓之5,臺北市信義區泰和里20鄰吳興街600巷76弄20號,121.570498,25.018460
22,臺北市萬華區西藏路１１７號十三樓,臺北市萬華區新忠里12鄰西藏路117號,121.502865,25.029578
23,臺北市中山區德惠街２號九樓,臺北市中山區晴光里14鄰德惠街2號,121.523030,25.066638
24,臺北市信義區吳興街600巷76弄22號3樓之1,臺北市信義區泰和里20鄰吳興街600巷76弄22號,121.570477,25.018374
25,臺北市北投區文林北路１４０號三樓,臺北市北投區文林里18鄰文林北路140號,121.516604,25.106598
26,臺北市北投區文林北路１４０號九樓,臺北市北投區文林里18鄰文林北路140號,121.516604,25.106598
27,臺北市北投區文林北路１３２號六樓,臺北市北投區文林里18鄰文林北路132號,121.516801,25.106480
28,臺北市北投區文林北路１３６號六樓,臺北市北投區文林里18鄰文林北路136號,121.516713,25.106380
29,臺北市北投區文林北路１３２號四樓,臺北市北投區文林里18鄰文林北路132號,121.516801,25.106480
30,臺北市北投區文林北路１４０號二樓,臺北市北投區文林里18鄰文林北路140號,121.516604,25.106598
31,臺北市北投區文林北路１３８號五樓,臺北市北投區文林里18鄰文林北路138號,121.516524,25.106549
32,臺北市北投區文林北路１３６號八樓,臺北市北投區文林里18鄰文林北路136號,121.516713,25.106380
33,臺北市北投區文林北路１３６號五樓,臺北市北投區文林里18鄰文林北路136號,121.516713,25.106380
34,臺北市北投區文林北路１３６號三樓,臺北市北投區文林里18鄰文林北路136號,121.516713,25.106380
35,臺北市北投區文林北路１４０號四樓,臺北市北投區文林里18鄰文林北路140號,121.516604,25.106598
36,臺北市北投區文林北路１３８號八樓,臺北市北投區文林里18鄰文林北路138號,121.516524,25.106549
37,臺北市北投區文林北路１３２號二樓,臺北市北投區文林里18鄰文林北路132號,121.516801,25.106480
38,臺北市士林區文林北路１３２號五樓,找不到指定的門牌地址。,,
39,臺北市信義區吳興街600巷76弄20號4樓之1,臺北市信義區泰和里20鄰吳興街600巷76弄20號,121.570498,25.018460
40,臺北市信義區吳興街600巷76弄20號3樓之1,臺北市信義區泰和里20鄰吳興街600巷76弄20號,121.570498,25.018460
41,臺北市中正區汀州路二段８５號十八樓,臺北市中正區螢圃里4鄰汀州路二段85號,121.517574,25.025486
42,臺北市中正區汀州路二段８５號十八樓之３,臺北市中正區螢圃里4鄰汀州路二段85號,121.517574,25.025486
43,臺北市內湖區民權東路六段１７５號十樓之１,臺北市內湖區寶湖里24鄰民權東路六段175號,121.596697,25.068182
44,臺北市大安區市民大道三段１８６號十六樓,臺北市大安區昌隆里15鄰市民大道三段186號,121.537873,25.044442
45,臺北市北投區文林北路１３２號七樓,臺北市北投區文林里18鄰文林北路132號,121.516801,25.106480
46,臺北市北投區文林北路１３８號二十五樓,臺北市北投區文林里18鄰文林北路138號,121.516524,25.106549
47,臺北市北投區明德路３０號十三樓,臺北市北投區建民里17鄰明德路30號,121.518232,25.107157
48,臺北市北投區明德路３０號十二樓,臺北市北投區建民里17鄰明德路30號,121.518232,25.107157
49,臺北市北投區明德路２８號十樓,臺北市北投區建民里17鄰明德路28號,121.518086,25.107192
50,臺北市北投區明德路２８號九樓,臺北市北投區建民里17鄰明德路28號,121.518086,25.107192
51,臺北市北投區明德路２８號五樓,臺北市北投區建民里17鄰明德路28號,121.518086,25.107192
52,臺北市北投區明德路２８號十二樓,臺北市北投區建民里17鄰明德路28號,121.518086,25.107192
53,臺北市北投區明德路３２號九樓,臺北市北投區建民里17鄰明德路32號,121.518180,25.107016
54,臺北市北投區明德路３０號十樓,臺北市北投區建民里17鄰明德路30號,121.518232,25.107157
55,臺北市北投區明德路３０號二樓,臺北市北投區建民里17鄰明德路30號,121.518232,25.107157
56,臺北市中正區汀州路二段８５號五樓之２,臺北市中正區螢圃里4鄰汀州路二段85號,121.517574,25.025486
57,臺北市北投區明德路３２號,臺北市北投區建民里17鄰明德路32號,121.518180,25.107016
58,臺北市北投區文林北路１３８號十七樓,臺北市北投區文林里18鄰文林北路138號,121.516524,25.106549
59,臺北市北投區三合街一段８２巷６２弄１６號七樓,臺北市北投區奇岩里3鄰三合街一段82巷62弄16號,121.505300,25.128537
60,臺北市中正區汀州路二段８５號七樓之１,臺北市中正區螢圃里4鄰汀州路二段85號,121.517574,25.025486
61,臺北市中正區汀州路二段８５號十三樓之３,臺北市中正區螢圃里4鄰汀州路二段85號,121.517574,25.025486
62,臺北市大安區仁愛路三段5巷7號七樓,臺北市大安區民輝里4鄰仁愛路三段5巷7號,121.533578,25.039978
63,臺北市大安區仁愛路三段5巷9號七樓,臺北市大安區民輝里4鄰仁愛路三段5巷9號,121.533713,25.039978
64,臺北市北投區石牌路二段３１５巷２８弄２０號十一樓,臺北市北投區永欣里16鄰石牌路二段315巷28弄20號,121.523491,25.123733
65,臺北市北投區石牌路二段３１５巷２８弄２０號五樓,臺北市北投區永欣里16鄰石牌路二段315巷28弄20號,121.523491,25.123733
66,臺北市大安區仁愛路三段5巷7號十二樓,臺北市大安區民輝里4鄰仁愛路三段5巷7號,121.533578,25.039978
67,臺北市中正區汀州路二段８５號七樓之３,臺北市中正區螢圃里4鄰汀州路二段85號,121.517574,25.025486
68,臺北市中正區汀州路二段８５號十四樓之２,臺北市中正區螢圃里4鄰汀州路二段85號,121.517574,25.025486
69,臺北市大安區仁愛路三段5巷9號十一樓,臺北市大安區民輝里4鄰仁愛路三段5巷9號,121.533713,25.039978
70,臺北市北投區三合街一段１１８巷１８號六樓,臺北市北投區奇岩里3鄰三合街一段118巷18號,121.504115,25.127344
71,臺北市北投區三合街一段１１８巷２０號七樓,臺北市北投區奇岩里3鄰三合街一段118巷20號,121.504237,25.127393
72,臺北市北投區三合街一段１１８巷２０號六樓,臺北市北投區奇岩里3鄰三合街一段118巷20號,121.504237,25.127393
73,臺北市北投區三合街一段１１８巷１８號五樓,臺北市北投區奇岩里3鄰三合街一段118巷18號,121.504115,25.127344
74,臺北市北投區三合街一段１１８巷１６號五樓,臺北市北投區奇岩里3鄰三合街一段118巷16號,121.504159,25.127223
75,臺北市大安區仁愛路三段5巷7號六樓,臺北市大安區民輝里4鄰仁愛路三段5巷7號,121.533578,25.039978
76,臺北市大安區仁愛路三段5巷9號16樓,臺北市大安區民輝里4鄰仁愛路三段5巷9號,121.533713,25.039978
77,臺北市大安區仁愛路三段5巷7號四樓,臺北市大安區民輝里4鄰仁愛路三段5巷7號,121.533578,25.039978
78,臺北市大安區信義路三段３９號十四樓,臺北市大安區民炤里11鄰信義路三段39號,121.534837,25.033757
79,臺北市中正區汀州路二段８５號三樓之２,臺北市中正區螢圃里4鄰汀州路二段85號,121.517574,25.025486
80,臺北市中正區汀州路二段８５號三樓之５,臺北市中正區螢圃里4鄰汀州路二段85號,121.517574,25.025486
81,臺北市內湖區內湖路三段６０巷２９號十五樓,臺北市內湖區碧山里5鄰內湖路三段60巷29號,121.593084,25.088339
82,臺北市士林區延平北路六段２１３號二樓,臺北市士林區社新里15鄰延平北路六段213號,121.505153,25.088896
83,臺北市中山區中山北路一段１１３號１８樓,臺北市中山區正得里12鄰中山北路一段113號,121.522493,25.051227
84,臺北市大安區仁愛路三段5巷7號三樓,臺北市大安區民輝里4鄰仁愛路三段5巷7號,121.533578,25.039978
85,臺北市北投區文林北路１３６號二十四樓,臺北市北投區文林里18鄰文林北路136號,121.516713,25.106380
86,臺北市中正區汀州路二段８５號二樓之２,臺北市中正區螢圃里4鄰汀州路二段85號,121.517574,25.025486
87,臺北市中正區汀州路二段８５號十七樓之１,臺北市中正區螢圃里4鄰汀州路二段85號,121.517574,25.025486
